"Country Name	","2005 [YR2005]	","2006 [YR2006]	","2007 [YR2007]	","2008 [YR2008]	",2009,"[YR2009]	2010","[YR2010]	2011","[YR2011]	2012","[YR2012]	2013","[YR2013]	2014"
Argentina,0.378670007,0.400330007,0.401690006,0.421350002,0.519010007,0.517610013,0.53658998,0.60939002,0.611750007,0.613030016
Armenia,0.257609993,0.240569994,0.211070001,0.224380001,0.290930003,0.241390005,0.270139992,0.238529995,0.222159997,0.240789995
Austria,2.383239985,2.371150017,2.432399988,2.585570097,2.613579988,2.737839937,2.68163991,2.885610104,2.964359999,2.986089945
Azerbaijan,0.219940007,0.171650007,0.170059994,0.165539995,0.249760002,0.218480006,0.210840002,0.217240006,0.211410001,0.209910005
Belgium,1.782310009,1.814260006,1.844120026,1.924129963,1.98537004,2.050800085,2.155329943,2.362689972,2.429640055,2.464679956
Bulgaria,0.443399996,0.443129987,0.426829994,0.445800006,0.495660007,0.571439981,0.53628999,0.608479977,0.636420012,0.795130014
Canada,1.986449957,1.955649972,1.917870045,1.868260026,1.922709942,1.837610006,1.798519969,1.786069989,1.688279986,1.611529946
Central Europe and the Baltics,0.737827853,0.753784532,0.759660483,0.788251518,0.834619784,0.876257216,0.960171285,1.06015088,1.063696814,1.093886707
China,1.317929983,1.37974,1.384320021,1.457299948,1.678709984,1.727200031,1.79437995,1.92809999,2.014659882,2.046040058
Colombia,0.15433,0.153899997,0.18163,0.194509998,0.192959994,0.195659995,0.20747,0.206929997,0.255380005,0.195339993
Croatia,0.855579972,0.740090013,0.792249978,0.884130001,0.844250023,0.744690001,0.75237,0.751129985,0.815609992,0.790000021
Cuba,0.549199998,0.441390008,0.436150014,0.500609994,0.614870012,0.607670009,0.271919996,0.407169998,0.474660009,0.405319989
Cyprus,0.370550007,0.387410015,0.404309988,0.390890002,0.450459987,0.452179998,0.456120014,0.429250002,0.462660015,0.47240001
Czech Republic,1.170840025,1.233719945,1.305089951,1.242030025,1.297219992,1.339859962,1.560060024,1.790380001,1.90952003,1.997339964
Denmark,2.392529964,2.402359962,2.514810085,2.779510021,3.069279909,2.936969995,2.966259956,3.026319981,3.084939957,3.084929943
East Asia & Pacific,2.488272151,2.475240882,2.421760053,2.469821435,2.310406018,2.460709446,2.394969948,2.55209494,2.39419953,2.575574993
East Asia & Pacific (excluding high income),1.187191289,1.256737439,1.25577019,1.423789828,1.411372314,1.697540873,1.634107793,1.895847005,1.800045091,1.963276788
East Asia & Pacific (IDA & IBRD countries),1.187191289,1.256737439,1.25577019,1.423789828,1.411372314,1.697540873,1.634107793,1.895847005,1.800045091,1.963276788
"Egypt, Arab Rep.",0.241410002,0.259030014,0.255100012,0.270240009,0.433120012,0.433450013,0.531539977,0.54102999,0.677980006,0.678680003
Estonia,0.923640013,1.116659999,1.068840027,1.259520054,1.395409942,1.58141005,2.306550026,2.114259958,1.714679956,1.436360002
Euro area,1.777026795,1.799384427,1.806284086,1.889675513,1.986386256,1.994398716,2.041712979,2.100917957,2.107546089,2.121838926
Europe & Central Asia,1.665521386,1.671831366,1.672594741,1.736930024,1.827677938,1.790962227,1.805383538,1.861404709,1.838660358,1.88585175
